tmdb_id,title,release_year,runtime_minutes,genres,vote_average,vote_count,tmdb_url
9431,Bordello of Blood,1996,87,Horror|Comedy,5.911,398,https://www.themoviedb.org/movie/9431
664341,Eileen,2023,98,Thriller|Crime,5.91,332,https://www.themoviedb.org/movie/664341
418437,Unforgettable,2017,100,Drama|Thriller,5.91,674,https://www.themoviedb.org/movie/418437
306952,Naomi and Ely's No Kiss List,2015,89,Romance|Comedy,5.91,1073,https://www.themoviedb.org/movie/306952
38031,You Will Meet a Tall Dark Stranger,2010,98,Comedy|Drama|Romance,5.91,881,https://www.themoviedb.org/movie/38031
2310,Beowulf,2007,115,Adventure|Action|Animation,5.91,2949,https://www.themoviedb.org/movie/2310
1030987,Sympathy for the Devil,2023,90,Thriller|Action,5.906,303,https://www.themoviedb.org/movie/1030987
18476,Horsemen,2009,90,Crime|Drama|Horror|Mystery|Thriller,5.909,581,https://www.themoviedb.org/movie/18476
27740,A Return to Salem's Lot,1987,100,Horror|Comedy,5.9,309,https://www.themoviedb.org/movie/27740
11309,Hardware,1990,93,Horror|Science Fiction|Thriller,5.9,323,https://www.themoviedb.org/movie/11309
1995,Lara Croft: Tomb Raider,2001,100,Adventure|Action|Fantasy,5.908,6324,https://www.themoviedb.org/movie/1995
146381,Justin and the Knights of Valour,2013,90,Animation|Adventure,5.9,321,https://www.themoviedb.org/movie/146381
7364,Sahara,2005,124,Action|Adventure|Comedy|Drama|Mystery,5.908,1569,https://www.themoviedb.org/movie/7364
2084,Birthday Girl,2001,93,Comedy|Crime|Thriller,5.907,420,https://www.themoviedb.org/movie/2084
1077280,Die Hart,2023,84,Comedy|Action|Thriller,5.906,484,https://www.themoviedb.org/movie/1077280
439079,The Nun,2018,96,Horror,5.9,7012,https://www.themoviedb.org/movie/439079
45649,Rubber,2010,82,Comedy|Drama|Fantasy|Horror|Mystery,5.906,1079,https://www.themoviedb.org/movie/45649
11968,Into the Blue,2005,110,Action|Thriller|Adventure|Crime,5.908,1570,https://www.themoviedb.org/movie/11968
238603,Earth to Echo,2014,89,Family|Adventure|Science Fiction,5.909,602,https://www.themoviedb.org/movie/238603
968739,Dangerous Liaisons,2022,109,Drama|Romance,5.904,311,https://www.themoviedb.org/movie/968739
39285,Beauty & the Briefcase,2010,83,Romance|Comedy|TV Movie,5.904,416,https://www.themoviedb.org/movie/39285
36691,Solitary Man,2009,90,Comedy|Drama|Romance,5.904,337,https://www.themoviedb.org/movie/36691
17134,12 Rounds,2009,108,Action|Thriller|Crime,5.904,819,https://www.themoviedb.org/movie/17134
501979,Bill & Ted Face the Music,2020,92,Comedy|Science Fiction|Adventure,5.902,1019,https://www.themoviedb.org/movie/501979
353569,Table 19,2017,87,Comedy|Drama,5.9,991,https://www.themoviedb.org/movie/353569
72571,Paranormal Activity 3,2011,83,Horror|Mystery,5.902,2306,https://www.themoviedb.org/movie/72571
5137,Sky Captain and the World of Tomorrow,2004,107,Mystery|Action|Thriller|Science Fiction|Adventure,5.902,1320,https://www.themoviedb.org/movie/5137
740925,No One Gets Out Alive,2021,85,Horror|Mystery|Thriller,5.901,696,https://www.themoviedb.org/movie/740925
479455,Men in Black: International,2019,115,Comedy|Science Fiction|Action|Adventure,5.9,5168,https://www.themoviedb.org/movie/479455
13059,The Signal,2007,103,Horror|Science Fiction|Thriller,5.908,319,https://www.themoviedb.org/movie/13059
9005,The Ice Harvest,2005,88,Crime|Comedy|Drama|Thriller,5.901,322,https://www.themoviedb.org/movie/9005
290555,Wolves,2014,90,Horror|Action,5.9,319,https://www.themoviedb.org/movie/290555
270302,The Riot Club,2014,107,Drama,5.9,1000,https://www.themoviedb.org/movie/270302
11187,Child's Play 3,1991,90,Horror|Thriller,5.9,1687,https://www.themoviedb.org/movie/11187
9030,The Eye,2008,98,Drama|Horror|Thriller,5.9,1109,https://www.themoviedb.org/movie/9030
2749,15 Minutes,2001,120,Action|Crime|Thriller,5.9,769,https://www.themoviedb.org/movie/2749
334527,Criminal Activities,2015,94,Thriller|Crime|Drama,5.899,312,https://www.themoviedb.org/movie/334527
51994,The Deep Blue Sea,2011,98,Drama|Romance,5.899,303,https://www.themoviedb.org/movie/51994
9982,Chicken Little,2005,81,Animation|Family|Comedy,5.9,4051,https://www.themoviedb.org/movie/9982
9767,The Break-Up,2006,106,Romance|Comedy,5.899,2761,https://www.themoviedb.org/movie/9767
515454,Come True,2020,105,Science Fiction|Horror,5.898,303,https://www.themoviedb.org/movie/515454
86828,Absolutely Anything,2015,85,Comedy|Science Fiction,5.898,1552,https://www.themoviedb.org/movie/86828
34069,Cargo,2009,120,Thriller|Mystery|Science Fiction,5.896,409,https://www.themoviedb.org/movie/34069
895744,Studio 666,2022,106,Horror|Comedy|Music,5.897,326,https://www.themoviedb.org/movie/895744
22894,Legion,2010,100,Horror|Action|Fantasy,5.898,2752,https://www.themoviedb.org/movie/22894
13006,Split Second,1992,90,Science Fiction|Action|Crime|Thriller|Horror,5.9,336,https://www.themoviedb.org/movie/13006
45772,Gnomeo & Juliet,2011,84,Animation|Family,5.9,2031,https://www.themoviedb.org/movie/45772
9728,Friday the 13th Part III,1982,95,Horror|Thriller,5.896,1538,https://www.themoviedb.org/movie/9728
1483,Begotten,1991,72,Fantasy|Horror,5.9,327,https://www.themoviedb.org/movie/1483
184125,Assault on Wall Street,2013,99,Drama|Thriller|Action,5.895,486,https://www.themoviedb.org/movie/184125
89492,This Is 40,2012,134,Comedy,5.895,2258,https://www.themoviedb.org/movie/89492
49010,Hobo with a Shotgun,2011,86,Crime|Action|Thriller,5.899,660,https://www.themoviedb.org/movie/49010
6439,Racing Stripes,2005,102,Comedy|Family,5.894,641,https://www.themoviedb.org/movie/6439
27414,"Silent Night, Deadly Night",1984,79,Thriller|Horror,5.893,397,https://www.themoviedb.org/movie/27414
460790,Starship Troopers: Traitor of Mars,2017,87,Animation|Action|Science Fiction,5.9,310,https://www.themoviedb.org/movie/460790
457962,Shimmer Lake,2017,83,Thriller|Crime|Drama|Mystery,5.892,449,https://www.themoviedb.org/movie/457962
362637,Opposites Attract,2015,85,Romance|Comedy,5.9,309,https://www.themoviedb.org/movie/362637
20829,Funny People,2009,146,Comedy|Drama,5.892,1363,https://www.themoviedb.org/movie/20829
