name,slug,id,release,runtime,rewatched,rating,liked,reviewed,date
The Young Girls of Rochefort,the-young-girls-of-rochefort,50258,1967,,0,6,0,0,2024-04-11
The Ides of March,the-ides-of-march,46343,2011,,0,7,0,1,2024-04-07
Thirteen,thirteen,45680,2003,,0,8,1,1,2024-04-07
The Truth vs. Alex Jones,the-truth-vs-alex-jones,1125002,2024,,0,,0,0,2024-04-06
Monkey Man,monkey-man,488751,2024,,0,8,1,1,2024-04-04
American Fiction,american-fiction,952812,2023,,0,7,0,0,2024-04-03
Infinity Pool,infinity-pool,591931,2023,,0,6,0,1,2024-04-02
The Prestige,the-prestige,51147,2006,,0,9,1,1,2024-04-01
Batman: Gotham by Gaslight,batman-gotham-by-gaslight,402896,2018,,0,7,0,1,2024-03-31
The Batman,the-batman,348914,2022,,1,10,1,1,2024-03-30
The Rover,the-rover,117868,2014,,0,7,0,0,2024-03-29
The Zone of Interest,the-zone-of-interest,398800,2023,,0,8,0,0,2024-03-28
Road House,road-house-2024,291213,2024,,0,4,0,1,2024-03-28
Batman: Under the Red Hood,batman-under-the-red-hood,24308,2010,,0,8,0,0,2024-03-27
Kiss Kiss Bang Bang,kiss-kiss-bang-bang-2005,48894,2005,,0,7,0,0,2024-03-26
Blood Simple,blood-simple,45366,1984,,0,7,0,0,2024-03-24
Blue Ruin,blue-ruin,135747,2013,,0,8,0,1,2024-03-23
Burn After Reading,burn-after-reading,49054,2008,,0,8,1,0,2024-03-19
Dream Scenario,dream-scenario,739691,2023,,0,6,0,0,2024-03-19
But I'm a Cheerleader,but-im-a-cheerleader,38800,1999,,0,7,0,0,2024-03-18
High Fidelity,high-fidelity,51813,2000,,0,7,0,0,2024-03-15
The Lobster,the-lobster,178123,2015,,0,8,0,1,2024-03-13
I Am Not Your Negro,i-am-not-your-negro,345176,2016,,0,8,0,0,2024-03-12
Poor Things,poor-things-2023,710352,2023,,0,6,0,1,2024-03-11
Ricky Stanicky,ricky-stanicky,921527,2024,,0,6,0,1,2024-03-10
Exit Through the Gift Shop,exit-through-the-gift-shop,25234,2010,,1,8,0,0,2024-03-09
Cure,cure,28195,1997,,0,9,1,1,2024-03-08
Hideo Kojima: Connecting Worlds,hideo-kojima-connecting-worlds,1014851,2023,,0,,0,1,2024-03-04
Witness,witness,47311,1985,,0,8,0,0,2024-03-04
The Assassination of Jesse James by the Coward Robert Ford,the-assassination-of-jesse-james-by-the-coward-robert-ford,49288,2007,,0,10,0,1,2024-03-03
Heat,heat-1995,51994,1995,,0,8,0,1,2024-03-03
Somewhere,somewhere,25454,2010,,0,8,1,1,2024-03-01
Devil in a Blue Dress,devil-in-a-blue-dress,47694,1995,,0,9,1,1,2024-02-29
Dead Man's Shoes,dead-mans-shoes,44247,2004,,0,9,1,0,2024-02-24
Dune: Part Two,dune-part-two,617443,2024,,0,9,1,1,2024-02-21
Taken,taken,47648,2008,,0,7,0,0,2024-02-16
Ted 2,ted-2,152464,2015,,0,6,0,1,2024-02-15
After We Collided,after-we-collided,540626,2020,,0,2,0,1,2024-02-12
Drive-Away Dolls,drive-away-dolls,861250,2024,,0,5,0,0,2024-02-08
The Passenger,the-passenger-2023,861437,2023,,0,6,0,0,2024-02-07
Dallas Buyers Club,dallas-buyers-club,114605,2013,,0,8,0,0,2024-02-06
Targets,targets,39664,1968,,0,9,1,0,2024-02-05
Jackie Brown,jackie-brown,51868,1997,,1,8,0,0,2024-02-01
"Three Billboards Outside Ebbing, Missouri",three-billboards-outside-ebbing-missouri,291610,2017,,0,8,0,0,2024-01-27
Dazed and Confused,dazed-and-confused,47029,1993,,0,8,0,0,2024-01-25
The Sisters Brothers,the-sisters-brothers,372740,2018,,0,8,1,0,2024-01-21
Sicario: Day of the Soldado,sicario-day-of-the-soldado,335294,2018,,0,6,0,1,2024-01-16
Origin,origin-2023-1,674135,2023,,0,7,0,1,2024-01-15
The Curse,the-curse-2023,1071313,2023,,0,9,0,1,2024-01-13
Inherent Vice,inherent-vice,125830,2014,,0,9,1,1,2024-01-13
Society of the Snow,society-of-the-snow,813840,2023,,0,8,0,0,2024-01-12
The Holdovers,the-holdovers,755564,2023,,0,9,1,0,2024-01-11
Natural Born Killers,natural-born-killers,51815,1994,,0,9,1,1,2024-01-06
The Nice Guys,the-nice-guys,216301,2016,,1,9,1,0,2024-01-05
Percy Jackson & the Olympians: The Lightning Thief,percy-jackson-the-olympians-the-lightning-thief,30264,2010,,0,6,0,0,2024-01-04
Black Swan,black-swan,20956,2010,,0,9,1,0,2024-01-03
Theater Camp,theater-camp-2023,887650,2023,,0,7,0,0,2023-12-27
Anatomy of a Fall,anatomy-of-a-fall,822093,2023,,0,8,1,0,2023-12-26
Last Flag Flying,last-flag-flying,353491,2017,,0,7,0,0,2023-12-24
The Iron Claw,the-iron-claw-2023,764890,2023,,0,9,1,0,2023-12-23
TÁR,tar-2022,734096,2022,,0,8,0,0,2023-12-22
Slow West,slow-west,157807,2015,,0,8,0,0,2023-12-18
Saltburn,saltburn,835774,2023,,0,5,0,1,2023-12-17
The Boy and the Heron,the-boy-and-the-heron,438692,2023,,0,7,0,0,2023-12-16
Leave the World Behind,leave-the-world-behind-2023,648869,2023,,0,5,0,0,2023-12-15
Short Term 12,short-term-12-2013,124970,2013,,0,8,0,0,2023-12-14
Project X,project-x-2012,8933,2012,,0,7,0,0,2023-12-10
Killers of the Flower Moon,killers-of-the-flower-moon,398009,2023,,0,10,1,1,2023-11-25
Game Night,game-night,378048,2018,,0,7,0,1,2023-11-25
Napoleon,napoleon-2023,674137,2023,,0,5,0,0,2023-11-21
Scott Pilgrim vs. the World,scott-pilgrim-vs-the-world,37833,2010,,1,10,1,1,2023-11-21
Brokeback Mountain,brokeback-mountain,51909,2005,,0,8,1,1,2023-11-19
Scott Pilgrim Takes Off,scott-pilgrim-takes-off-2023,1090923,2023,,0,10,1,1,2023-11-18
The Virgin Suicides,the-virgin-suicides,51024,1999,,0,10,1,0,2023-11-17
