name,slug,id,release,runtime,rewatched,rating,liked,reviewed,date
Nightmare Alley,nightmare-alley-2021,524592,2021,,0,3,0,1,2022-02-10
"Night Is Short, Walk On Girl",night-is-short-walk-on-girl,363460,2017,,0,8,1,1,2022-01-28
The Power of the Dog,the-power-of-the-dog,527841,2021,,0,8,1,1,2021-12-11
"Merry Christmas, Mr. Lawrence",merry-christmas-mr-lawrence,44860,1983,,0,7,1,1,2021-12-10
Revolutionary Girl Utena: The Movie,revolutionary-girl-utena-the-movie,39443,1999,,0,10,1,1,2021-12-02
If Beale Street Could Talk,if-beale-street-could-talk,397578,2018,,0,,1,1,2021-11-23
The French Dispatch,the-french-dispatch,471207,2021,,0,,1,1,2021-11-16
Dune,dune-2021,371378,2021,,0,7,1,1,2021-11-13
Shiva Baby,shiva-baby-2020,589093,2020,,0,8,1,1,2021-09-15
Children of the Sea,children-of-the-sea,512877,2019,,0,8,1,1,2021-08-22
The Suicide Squad,the-suicide-squad,369835,2021,,0,7,1,1,2021-08-14
Willy's Wonderland,willys-wonderland,569375,2021,,0,,1,1,2021-08-12
Jennifer's Body,jennifers-body,39305,2009,,0,6,1,1,2021-07-31
Tomboy,tomboy-2011,1599,2011,,0,8,1,1,2021-07-23
Kajillionaire,kajillionaire,470369,2020,,0,10,1,1,2021-07-06
Amélie,amelie,51858,2001,,0,8,1,1,2021-06-26
Luca,luca-2021,438722,2021,,0,6,1,1,2021-06-25
Sound of Metal,sound-of-metal,432004,2019,,0,8,1,1,2021-05-05
Submarine,submarine,16555,2010,,0,8,1,1,2021-04-21
Promising Young Woman,promising-young-woman,510047,2020,,0,6,0,1,2021-04-16
Tokyo Godfathers,tokyo-godfathers,43921,2003,,0,10,1,1,2021-04-01
After Hours,after-hours,45842,1985,,0,8,1,1,2021-01-24
Reservoir Dogs,reservoir-dogs,51610,1992,,0,7,0,1,2021-01-10
Gone Girl,gone-girl,149857,2014,,0,8,1,1,2021-01-01
Neon Genesis Evangelion: The End of Evangelion,neon-genesis-evangelion-the-end-of-evangelion,40311,1997,,0,10,1,1,2020-11-21
Metropolis,metropolis-2001,46995,2001,,0,8,1,1,2020-11-17
Y Tu Mamá También,y-tu-mama-tambien,51068,2001,,0,8,1,1,2020-11-15
American Psycho,american-psycho,51097,2000,,0,9,1,1,2020-11-14
Fargo,fargo,51781,1996,,0,7,0,1,2020-11-01
Us,us-2019,390520,2019,,0,8,1,1,2020-10-27
Perfect Blue,perfect-blue,46175,1997,,0,10,1,1,2020-10-14
Good Will Hunting,good-will-hunting,51621,1997,,0,8,1,1,2020-09-24
"The Good, the Bad and the Ugly",the-good-the-bad-and-the-ugly,51666,1966,,0,8,1,1,2020-09-02
Ready or Not,ready-or-not-2019,495969,2019,,0,6,0,1,2020-08-30
There Will Be Blood,there-will-be-blood,48044,2007,,0,10,1,1,2020-08-12
Get Out,get-out-2017,353117,2017,,0,9,0,0,2020-07-18
The Skeleton Twins,the-skeleton-twins,171299,2014,,0,6,0,1,2020-07-14
Melancholia,melancholia,4549,2011,,0,6,0,1,2020-07-08
Nausicaä of the Valley of the Wind,nausicaa-of-the-valley-of-the-wind,51969,1984,,1,10,1,1,2020-07-02
Uncut Gems,uncut-gems,404266,2019,,0,6,0,1,2020-06-13
The City of Lost Children,the-city-of-lost-children,51250,1995,,0,7,1,1,2020-06-07
Howl's Moving Castle,howls-moving-castle,49062,2004,,1,10,1,1,2020-06-04
Out of Africa,out-of-africa,51515,1985,,0,2,0,1,2020-05-28
The Big Lebowski,the-big-lebowski,51935,1998,,0,8,1,1,2020-05-27
Calm with Horses,calm-with-horses,502602,2019,,0,8,1,1,2020-05-26
Being John Malkovich,being-john-malkovich,51618,1999,,0,8,1,1,2020-05-24
Only Lovers Left Alive,only-lovers-left-alive,114563,2013,,0,2,0,1,2020-05-21
Repo Man,repo-man,43569,1984,,0,9,1,1,2020-05-20
Django Unchained,django-unchained,52516,2012,,0,8,0,1,2020-05-19
El Angel,el-angel-2018,437286,2018,,0,8,1,1,2020-05-12
Waves,waves-2019,462573,2019,,0,6,0,1,2020-05-12
The Thing,the-thing,51155,1982,,0,7,1,1,2020-05-12
Tangerine,tangerine,234814,2015,,0,7,0,1,2020-05-11
Gia,gia,43018,1998,,0,7,1,1,2020-05-11
Portrait of a Lady on Fire,portrait-of-a-lady-on-fire,460830,2019,,0,8,1,1,2020-04-18
Hereditary,hereditary,424348,2018,,0,10,1,1,2020-02-29
Parasite,parasite-2019,426406,2019,,0,9,1,1,2020-02-13
